Line,Code,Execution Count
1,/* global _ */,10
2,(function () {,15
3,'use strict';,16
4,,16
5,/* jshint ignore:start */,16
6,// Underscore's Template Module,30
7,// Courtesy of underscorejs.org,42
8,var _ = (function (_) {,31
9,_.defaults = function (object) {,21
10,if (!object) {,23
11,return object;,24
12,},20
13,"for (var argsIndex = 1, argsLength = arguments.length; argsIndex < argsLength; argsIndex++) {",19
14,var iterable = arguments[argsIndex];,30
15,if (iterable) {,31
16,for (var key in iterable) {,33
17,if (object[key] == null) {,22
18,object[key] = iterable[key];,21
19,},20
20,},28
21,},33
22,},33
23,return object;,32
24,};,31
25,,31
26,"// By default, Underscore uses ERB-style template delimiters, change the",29
27,// following template settings to use alternative delimiters.,31
28,_.templateSettings = {,29
29,"evaluate    : /<%([\s\S]+?)%>/g,",25
30,"interpolate : /<%=([\s\S]+?)%>/g,",25
31,escape      : /<%-([\s\S]+?)%>/g,28
32,};,23
33,,23
34,"// When customizing `templateSettings`, if you don't want to define an",23
35,"// interpolation, evaluation or escaping regex, we need one that is",17
36,// guaranteed not to match.,19
37,var noMatch = /(.)^/;,19
38,,27
39,// Certain characters need to be escaped so that they can be put into a,25
40,// string literal.,28
41,var escapes = {,24
42,"""'"":      ""'"",",20
43,"'\\':     '\\',",23
44,"'\r':     'r',",23
45,"'\n':     'n',",23
46,"'\t':     't',",23
47,"'\u2028': 'u2028',",18
48,'\u2029': 'u2029',19
49,};,19
50,,19
51,var escaper = /\\|'|\r|\n|\t|\u2028|\u2029/g;,19
52,,18
53,"// JavaScript micro-templating, similar to John Resig's implementation.",17
54,"// Underscore templating handles arbitrary delimiters, preserves whitespace,",20
55,// and correctly escapes quotes within interpolated code.,18
56,"_.template = function(text, data, settings) {",18
57,var render;,18
58,"settings = _.defaults({}, settings, _.templateSettings);",20
59,,17
60,// Combine delimiters into one regular expression via alternation.,17
61,var matcher = new RegExp([,15
62,"(settings.escape || noMatch).source,",16
63,"(settings.interpolate || noMatch).source,",16
64,(settings.evaluate || noMatch).source,18
65,"].join('|') + '|$', 'g');",18
66,,20
67,"// Compile the template source, escaping string literals appropriately.",20
68,var index = 0;,20
69,"var source = ""__p+='"";",24
70,"text.replace(matcher, function(match, escape, interpolate, evaluate, offset) {",24
71,"source += text.slice(index, offset)",24
72,".replace(escaper, function(match) { return '\\' + escapes[match]; });",24
73,,16
74,if (escape) {,16
75,"source += ""'+\n((__t=("" + escape + ""))==null?'':_.escape(__t))+\n'"";",16
76,},16
77,if (interpolate) {,16
78,"source += ""'+\n((__t=("" + interpolate + ""))==null?'':__t)+\n'"";",16
79,},15
80,if (evaluate) {,15
81,"source += ""';\n"" + evaluate + ""\n__p+='"";",15
82,},16
83,index = offset + match.length;,16
84,return match;,16
85,});,16
86,"source += ""';\n"";",16
87,,16
88,"// If a variable is not specified, place data values in local scope.",16
89,if (!settings.variable) source = 'with(obj||{}){\n' + source + '}\n';,22
90,,26
91,"source = ""var __t,__p='',__j=Array.prototype.join,"" +",22
92,"""print=function(){__p+=__j.call(arguments,'');};\n"" +",28
93,"source + ""return __p;\n"";",28
94,,24
95,try {,25
96,"render = new Function(settings.variable || 'obj', '_', source);",23
97,} catch (e) {,45
98,e.source = source;,45
99,throw e;,45
100,},47
101,,53
102,"if (data) return render(data, _);",51
103,var template = function(data) {,57
104,"return render.call(this, data, _);",59
105,};,58
106,,61
107,// Provide the compiled function source as a convenience for precompilation.,56
108,template.source = 'function(' + (settings.variable || 'obj') + '){\n' + source + '}';,56
109,,53
110,return template;,50
111,};,50
112,,46
113,return _;,49
114,})({});,41
115,,36
116,if (location.hostname === 'todomvc.com') {,36
117,"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){",36
118,"(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),",33
119,"m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)",33
120,"})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');",32
121,"ga('create', 'UA-31081062-1', 'auto');",31
122,"ga('send', 'pageview');",31
123,},31
124,/* jshint ignore:end */,32
125,,32
126,function redirect() {,33
127,if (location.hostname === 'tastejs.github.io') {,31
128,"location.href = location.href.replace('tastejs.github.io/todomvc', 'todomvc.com');",31
129,},31
130,},31
131,,30
132,function findRoot() {,31
133,var base = location.href.indexOf('examples/');,31
134,"return location.href.substr(0, base);",31
135,},31
136,,30
137,"function getFile(file, callback) {",9
138,if (!location.host) {,11
139,return console.info('Miss the info bar? Run TodoMVC from a server to avoid a cross-origin error.');,11
140,},11
141,,11
142,var xhr = new XMLHttpRequest();,9
143,,10
144,"xhr.open('GET', findRoot() + file, true);",10
145,xhr.send();,10
146,,10
147,xhr.onload = function () {,10
148,if (xhr.status === 200 && callback) {,9
149,callback(xhr.responseText);,9
150,},9
151,};,9
152,},8
153,,7
154,"function Learn(learnJSON, config) {",7
155,if (!(this instanceof Learn)) {,7
156,"return new Learn(learnJSON, config);",7
157,},7
158,,7
159,"var template, framework;",7
160,,7
161,if (typeof learnJSON !== 'object') {,7
162,try {,6
163,learnJSON = JSON.parse(learnJSON);,7
164,} catch (e) {,7
165,return;,7
166,},7
167,},7
168,,7
169,if (config) {,7
170,template = config.template;,7
171,framework = config.framework;,7
172,},7
173,,7
174,if (!template && learnJSON.templates) {,6
175,template = learnJSON.templates.todomvc;,14
176,},14
177,,15
178,if (!framework && document.querySelector('[data-framework]')) {,16
179,framework = document.querySelector('[data-framework]').dataset.framework;,16
180,},16
181,,23
182,this.template = template;,24
183,,24
184,if (learnJSON.backend) {,26
185,this.frameworkJSON = learnJSON.backend;,33
186,this.frameworkJSON.issueLabel = framework;,32
187,this.append({,32
188,backend: true,32
189,});,32
190,} else if (learnJSON[framework]) {,36
191,this.frameworkJSON = learnJSON[framework];,35
192,this.frameworkJSON.issueLabel = framework;,35
193,this.append();,35
194,},38
195,,37
196,this.fetchIssueCount();,37
197,},37
198,,41
199,Learn.prototype.append = function (opts) {,42
200,var aside = document.createElement('aside');,42
201,"aside.innerHTML = _.template(this.template, this.frameworkJSON);",42
202,aside.className = 'learn';,42
203,,42
204,if (opts && opts.backend) {,42
205,// Remove demo link,43
206,var sourceLinks = aside.querySelector('.source-links');,42
207,var heading = sourceLinks.firstElementChild;,42
208,var sourceLink = sourceLinks.lastElementChild;,42
209,// Correct link path,42
210,var href = sourceLink.getAttribute('href');,14
211,"sourceLink.setAttribute('href', href.substr(href.lastIndexOf('http')));",6
212,sourceLinks.innerHTML = heading.outerHTML + sourceLink.outerHTML;,6
213,} else {,6
214,// Localize demo links,10
215,var demoLinks = aside.querySelectorAll('.demo-link');,10
216,"Array.prototype.forEach.call(demoLinks, function (demoLink) {",13
217,"if (demoLink.getAttribute('href').substr(0, 4) !== 'http') {",12
218,"demoLink.setAttribute('href', findRoot() + demoLink.getAttribute('href'));",12
219,},12
220,});,12
221,},12
222,,12
223,document.body.className = (document.body.className + ' learn-bar').trim();,12
224,"document.body.insertAdjacentHTML('afterBegin', aside.outerHTML);",12
225,};,12
226,,8
227,Learn.prototype.fetchIssueCount = function () {,4
228,var issueLink = document.getElementById('issue-count-link');,4
229,if (issueLink) {,4
230,"var url = issueLink.href.replace('https://github.com', 'https://api.github.com/repos');",4
231,var xhr = new XMLHttpRequest();,4
232,"xhr.open('GET', url, true);",8
233,xhr.onload = function (e) {,8
234,var parsedResponse = JSON.parse(e.target.responseText);,8
235,if (parsedResponse instanceof Array) {,8
236,var count = parsedResponse.length;,8
237,if (count !== 0) {,8
238,issueLink.innerHTML = 'This app has ' + count + ' open issues';,8
239,document.getElementById('issue-count').style.display = 'inline';,8
240,},8
241,},13
242,};,10
243,xhr.send();,8
244,},8
245,};,8
246,,4
247,redirect();,4
248,"getFile('learn.json', Learn);",4
249,})();,4
250,,4
251,"// Store a reference to the active route, allowing us to re-filter todo",3
252,// items as they are marked complete or incomplete.,3
253,this._activeRoute = currentPage;,3
254,,3
255,"if (currentPage === """")",3
256,"this._activeRoute = ""All"";",3
257,,3
258,this._filter();,3
259,,3
260,"this.view.render(""setFilter"", currentPage);",3
261,};,3
262,,2
263,// Export to window,2
264,window.app = window.app || {};,2
265,window.app.Controller = Controller;,2
266,})(window);,2
267,,1
